Vuelo,Origen,Destino,Fecha llegada,Hora llegada,Num pasajeros
AAL 933,New York,Santiago,Lun 29 Ago 2021,05:39 hrs,62
LAT 755,Sao Paulo,Santiago,Lun 31 Ago 2021,04:45 hrs,47
SKU 621,Rio De Janeiro,Santiago,Lun 30 Ago 2021,16:00 hrs,52
DAL 147,Atlanta,Santiago,Lun 29 Ago 2021,13:22 hrs,59
AVA 241,Bogota,Santiago,Lun 31 Ago 2021,14:05 hrs,25
AMX 10,Mexico City,Santiago,Lun 31 Ago 2021,05:20 hrs,29
IBE 6833,Londres,Santiago,Lun 30 Ago 2021,08:45 hrs,55
LAT 2479,Frankfurt,Santiago,Lun29 Ago 2021,07:41 hrs,51
SKU 803,Lima,Santiago,Lun 30 Ago 2021,10:35 hrs,48
LAT 533,Los Angeles,Santiago,Lun 29 Ago 2021,09:14 hrs,59
LAT 1447,Guayaquil,Santiago,Lun 31 Ago 2021,08:33 hrs,31
CMP 111,Panama City,Santiago,Lun 31 Ago 2021,15:15 hrs,29
LAT 705,Madrid,Santiago,Lun 30 Ago 2021,08:14 hrs,47
AAL 957,Miami,Santiago,Lun 29 Ago 2021,22:53 hrs,60
ARG 5091,Buenos Aires,Santiago,Lun 31 Ago 2021,09:57 hrs,32
LAT 1283,Cancun,Santiago,Lun 31 Ago 2021,04:00 hrs,35
LAT 579,Barcelona,Santiago,Lun 29 Ago 2021,07:45 hrs,61
AAL 945,Dallas-Fort Worth,Santiago,Lun 30 Ago 2021,07:12 hrs,58
LAT 501,Paris,Santiago,Lun 29 Ago 2021,18:29 hrs,49
LAT 405,Montevideo,Santiago,Lun 30 Ago 2021,15:45 hrs,39
